result_id;user_id;user_level;word_id;word_level;frequency;timestamp;is_correct;time_spent;attempt_number;days_since_last_seen;level_gap;is_hard_word;is_slow_response;is_rare_word;forgetting_risk;user_performance_score
R04388;U001;B2;W1438;B1;low;2024-03-24;True;4.57;1;0;-1;0;0;1;0;0.5
R05688;U001;B2;W1270;C2;medium;2024-03-24;True;9.01;1;0;2;1;0;0;0;0.5
R09321;U001;B2;W1181;A2;high;2024-03-24;True;1.4;1;0;-2;0;0;0;0;0.6
R07704;U001;B2;W1493;C2;low;2024-03-25;False;17.79;2;3;2;1;1;1;0;0.6
R09794;U001;B2;W0573;C1;high;2024-03-25;True;3.37;3;6;1;1;0;0;0;0.7
R04422;U001;B2;W0864;A2;high;2024-03-26;True;3.79;2;3;-2;0;0;0;0;0.7
R05439;U001;B2;W0174;A2;medium;2024-03-26;False;7.07;1;0;-2;0;0;0;0;0.6
R05651;U001;B2;W1438;B1;low;2024-03-27;True;4.5;2;3;-1;0;0;1;0;0.7
R01536;U001;B2;W1659;A2;low;2024-03-29;True;5.14;3;6;-2;0;0;1;0;0.8
R08074;U001;B2;W1130;C2;high;2024-03-30;False;15.1;1;0;2;1;1;0;0;0.7
R03864;U001;B2;W1776;C1;high;2024-03-31;True;5.76;1;0;1;1;0;0;0;0.7
R04069;U001;B2;W1776;C1;high;2024-04-01;True;7.52;2;1;1;1;0;0;0;0.7
R07651;U001;B2;W1989;C2;high;2024-04-01;False;11.13;1;0;2;1;0;0;0;0.6
R06280;U001;B2;W0129;C1;medium;2024-04-02;False;10.32;1;0;1;1;0;0;0;0.6
R07615;U001;B2;W0100;A1;low;2024-04-02;True;4.03;1;0;-3;0;0;1;0;0.6
R09243;U001;B2;W0100;A1;low;2024-04-03;True;6.05;2;1;-3;0;0;1;0;0.6
R00407;U001;B2;W0181;B1;medium;2024-04-04;False;9.55;1;0;-1;0;0;0;0;0.6
R02606;U001;B2;W0181;B1;medium;2024-04-05;True;3.26;2;1;-1;0;0;0;0;0.6
R04702;U001;B2;W0179;C2;low;2024-04-06;False;11.65;1;0;2;1;0;1;0;0.5
R05209;U001;B2;W0179;C2;low;2024-04-07;True;9.2;2;1;2;1;0;1;0;0.6
R05560;U001;B2;W0365;C2;medium;2024-04-08;True;7.14;1;0;2;1;0;0;0;0.6
R03409;U001;B2;W1659;A2;low;2024-04-09;True;5.42;4;11;-2;0;0;1;1;0.6
R02747;U001;B2;W0181;B1;medium;2024-04-10;True;3.94;3;5;-1;0;0;0;0;0.7
R03113;U001;B2;W1283;B1;high;2024-04-11;True;3.36;1;0;-1;0;0;0;0;0.8
R05558;U001;B2;W0179;C2;low;2024-04-13;False;11.26;3;6;2;1;0;1;0;0.7
R09553;U001;B2;W1125;A2;high;2024-04-17;True;6.68;1;0;-2;0;0;0;0;0.7
R05340;U001;B2;W0697;B2;medium;2024-04-18;True;4.27;1;0;0;0;0;0;0;0.8
R01034;U001;B2;W1137;B2;medium;2024-04-20;False;5.62;1;0;0;0;0;0;0;0.7
R06242;U001;B2;W0697;B2;medium;2024-04-20;False;5.21;2;2;0;0;0;0;0;0.7
R01090;U001;B2;W1137;B2;medium;2024-04-21;True;7.42;2;1;0;0;0;0;0;0.7
R03339;U001;B2;W1718;B1;high;2024-04-21;False;11.6;1;0;-1;0;0;0;0;0.6
R04153;U001;B2;W0703;B1;high;2024-04-24;True;5.88;1;0;-1;0;0;0;0;0.6
R05497;U001;B2;W0703;B1;high;2024-04-25;True;3.37;2;1;-1;0;0;0;0;0.6
R00712;U001;B2;W1197;C2;low;2024-04-26;False;12.37;1;0;2;1;1;1;0;0.5
R01865;U001;B2;W1137;B2;medium;2024-04-26;True;3.06;3;5;0;0;0;0;0;0.6
R00923;U001;B2;W1197;C2;low;2024-04-27;True;7.49;2;1;2;1;0;1;0;0.6
R02736;U001;B2;W1785;C2;high;2024-04-27;False;8.88;1;0;2;1;0;0;0;0.5
R03903;U001;B2;W1785;C2;high;2024-04-28;True;8.6;2;1;2;1;0;0;0;0.6
R07113;U001;B2;W1870;B2;high;2024-04-28;False;8.92;1;0;0;0;0;0;0;0.6
R05779;U001;B2;W0132;A1;medium;2024-04-30;False;6.93;1;0;-3;0;0;0;0;0.5
R09007;U001;B2;W0703;B1;high;2024-04-30;True;2.43;3;5;-1;0;0;0;0;0.6
R01045;U001;B2;W1197;C2;low;2024-05-03;False;10.02;3;6;2;1;0;1;0;0.5
R05534;U001;B2;W1137;B2;medium;2024-05-10;True;4.62;4;14;0;0;0;0;1;0.5
R07105;U001;B2;W1137;B2;medium;2024-06-06;True;5.11;5;27;0;0;0;0;1;0.6
R08192;U001;B2;W1137;B2;medium;2024-06-30;False;10.69;6;24;0;0;0;0;1;0.5
R01255;U002;B1;W0470;A2;high;2024-01-01;True;5.43;1;0;-1;0;0;0;0;1.0
R06357;U002;B1;W1298;A1;high;2024-01-01;True;1.62;1;0;-2;0;0;0;0;1.0
R01707;U002;B1;W0470;A2;high;2024-01-02;True;5.17;2;1;-1;0;0;0;0;1.0
R01101;U002;B1;W0362;B1;medium;2024-01-06;False;10.06;1;0;0;0;0;0;0;0.75
R05065;U002;B1;W0268;B1;medium;2024-01-08;True;6.36;1;0;0;0;0;0;0;0.8
R07314;U002;B1;W0362;B1;medium;2024-01-08;True;7.2;2;2;0;0;0;0;0;0.8333333333333334
R01840;U002;B1;W0470;A2;high;2024-01-09;True;5.07;3;7;-1;0;0;0;0;0.8571428571428571
R05099;U002;B1;W1379;B2;medium;2024-01-10;True;7.54;1;0;1;1;0;0;0;0.875
R07370;U002;B1;W1993;B2;medium;2024-01-13;False;11.8;1;0;1;1;0;0;0;0.7777777777777778
R02318;U002;B1;W0454;B2;medium;2024-01-15;False;8.47;1;0;1;1;0;0;0;0.7
R04364;U002;B1;W0914;A2;low;2024-01-17;False;10.34;1;0;-1;0;0;1;0;0.6
R03318;U002;B1;W1518;B1;high;2024-01-19;False;7.01;1;0;0;0;0;0;0;0.5
R07654;U002;B1;W0470;A2;high;2024-01-21;True;3.44;4;12;-1;0;0;0;1;0.5
R03481;U002;B1;W1518;B1;high;2024-01-22;True;8.91;2;3;0;0;0;0;0;0.6
R04005;U002;B1;W1163;A1;low;2024-01-22;True;5.89;1;0;-2;0;0;1;0;0.6
R04974;U002;B1;W0424;B2;low;2024-01-22;False;10.65;1;0;1;1;0;1;0;0.5
R00793;U002;B1;W0647;A2;high;2024-01-23;False;6.39;1;0;-1;0;0;0;0;0.4
R05760;U002;B1;W1508;B1;high;2024-01-24;True;5.13;1;0;0;0;0;0;0;0.4
R08899;U002;B1;W0647;A2;high;2024-01-25;True;5.43;2;2;-1;0;0;0;0;0.5
R06775;U002;B1;W1508;B1;high;2024-01-27;True;2.88;2;3;0;0;0;0;0;0.6
R00266;U002;B1;W0535;B2;low;2024-01-28;False;10.18;1;0;1;1;0;1;0;0.6
R04044;U002;B1;W0808;C1;low;2024-01-28;False;12.28;1;0;2;1;1;1;0;0.6
R00549;U002;B1;W0535;B2;low;2024-01-29;True;6.24;2;1;1;1;0;1;0;0.6
R07404;U002;B1;W0613;A2;medium;2024-02-01;True;6.59;1;0;-1;0;0;0;0;0.6
R00618;U002;B1;W1900;B1;low;2024-02-05;False;6.99;1;0;0;0;0;1;0;0.5
R06599;U002;B1;W1900;B1;low;2024-02-06;False;10.38;2;1;0;0;0;1;0;0.5
R06893;U002;B1;W0789;A2;high;2024-02-07;False;10.61;1;0;-1;0;0;0;0;0.5
R02131;U002;B1;W0014;A2;medium;2024-02-09;False;8.29;1;0;-1;0;0;0;0;0.4
R07004;U002;B1;W0433;C2;low;2024-02-09;False;16.43;1;0;3;1;1;1;0;0.3
R01059;U002;B1;W1386;C2;high;2024-02-12;False;13.81;1;0;3;1;1;0;0;0.2
R06534;U002;B1;W1284;B2;high;2024-02-12;True;7.43;1;0;1;1;0;0;0;0.3
R09877;U002;B1;W1284;B2;high;2024-02-14;True;7.7;2;2;1;1;0;0;0;0.4
R00154;U002;B1;W1009;C1;high;2024-02-16;False;12.41;1;0;2;1;1;0;0;0.3
R09835;U002;B1;W0781;A2;medium;2024-02-16;True;4.04;1;0;-1;0;0;0;0;0.3
R05507;U002;B1;W0489;B2;high;2024-02-17;True;7.28;1;0;1;1;0;0;0;0.4
R03537;U002;B1;W0712;A1;low;2024-02-18;True;5.73;1;0;-2;0;0;1;0;0.5
R09828;U002;B1;W0999;B1;high;2024-02-18;True;5.6;1;0;0;0;0;0;0;0.6
R00156;U002;B1;W1009;C1;high;2024-02-19;False;10.53;2;3;2;1;0;0;0;0.6
R06258;U002;B1;W0712;A1;low;2024-02-20;True;4.14;2;2;-2;0;0;1;0;0.7
R02069;U002;B1;W1265;A1;high;2024-02-21;True;5.33;1;0;-2;0;0;0;0;0.8
R06174;U002;B1;W0067;B2;high;2024-02-21;False;9.63;1;0;1;1;0;0;0;0.7
R02201;U002;B1;W0451;C1;high;2024-02-22;True;10.17;1;0;2;1;0;0;0;0.7
R02344;U002;B1;W1265;A1;high;2024-02-22;True;6.25;2;1;-2;0;0;0;0;0.8
R04662;U002;B1;W1419;A2;medium;2024-02-23;True;5.36;1;0;-1;0;0;0;0;0.8
R00171;U002;B1;W1009;C1;high;2024-02-24;False;10.13;3;5;2;1;0;0;0;0.7
R04750;U002;B1;W0358;C2;medium;2024-02-24;False;13.96;1;0;3;1;1;0;0;0.6
R08168;U002;B1;W1265;A1;high;2024-02-27;True;5.03;3;5;-2;0;0;0;0;0.6
R05041;U002;B1;W1994;B1;high;2024-03-01;True;5.36;1;0;0;0;0;0;0;0.7
R05796;U002;B1;W1652;C2;high;2024-03-01;False;14.47;1;0;3;1;1;0;0;0.6
R01022;U002;B1;W0192;A1;high;2024-03-04;True;4.27;1;0;-2;0;0;0;0;0.6
R06560;U002;B1;W1980;A2;high;2024-03-05;False;7.97;1;0;-1;0;0;0;0;0.6
R02159;U002;B1;W0192;A1;high;2024-03-06;True;5.45;2;2;-2;0;0;0;0;0.6
R00430;U002;B1;W1009;C1;high;2024-03-07;False;11.81;4;12;2;1;0;0;1;0.5
R03457;U002;B1;W0554;B1;medium;2024-03-08;True;7.74;1;0;0;0;0;0;0;0.5
R05906;U002;B1;W0290;B2;high;2024-03-09;True;7.25;1;0;1;1;0;0;0;0.6
R01268;U002;B1;W1399;C1;medium;2024-03-10;True;8.09;1;0;2;1;0;0;0;0.7
R09358;U002;B1;W0554;B1;medium;2024-03-11;False;9.97;2;3;0;0;0;0;0;0.6
R03926;U002;B1;W0027;C2;high;2024-03-12;False;15.35;1;0;3;1;1;0;0;0.5
R07368;U002;B1;W0290;B2;high;2024-03-12;True;3.43;2;3;1;1;0;0;0;0.6
R05211;U002;B1;W1988;C1;high;2024-03-14;False;13.97;1;0;2;1;1;0;0;0.5
R06915;U002;B1;W1988;C1;high;2024-03-15;False;14.81;2;1;2;1;1;0;0;0.5
R09827;U002;B1;W1618;C1;high;2024-03-15;True;8.9;1;0;2;1;0;0;0;0.5
R03562;U002;B1;W1748;C1;high;2024-03-16;True;9.18;1;0;2;1;0;0;0;0.6
R07770;U002;B1;W0290;B2;high;2024-03-17;False;8.61;3;5;1;1;0;0;0;0.5
R03869;U002;B1;W0850;A2;medium;2024-03-21;True;5.1;1;0;-1;0;0;0;0;0.5
R06916;U002;B1;W1432;B1;high;2024-03-22;True;6.52;1;0;0;0;0;0;0;0.5
R02006;U002;B1;W0984;A1;high;2024-03-26;True;4.92;1;0;-2;0;0;0;0;0.6
R05240;U002;B1;W1462;B2;high;2024-03-29;True;7.16;1;0;1;1;0;0;0;0.7
R05524;U002;B1;W0743;B1;medium;2024-03-29;False;6.34;1;0;0;0;0;0;0;0.6
R03898;U002;B1;W0943;C1;high;2024-03-31;True;8.33;1;0;2;1;0;0;0;0.7
R05178;U002;B1;W0731;A2;high;2024-03-31;False;7.63;1;0;-1;0;0;0;0;0.7
R01114;U002;B1;W0714;B2;medium;2024-04-02;False;9.16;1;0;1;1;0;0;0;0.6
R03859;U002;B1;W1471;B1;medium;2024-04-02;True;2.51;1;0;0;0;0;0;0;0.6
R08408;U002;B1;W0731;A2;high;2024-04-02;True;1.8;2;2;-1;0;0;0;0;0.7
R06527;U002;B1;W1885;B2;medium;2024-04-04;False;8.52;1;0;1;1;0;0;0;0.6
R06987;U002;B1;W1837;A1;low;2024-04-04;True;2.27;1;0;-2;0;0;1;0;0.6
R00512;U002;B1;W1009;C1;high;2024-04-05;False;10.72;5;29;2;1;0;0;1;0.5
R04527;U002;B1;W0714;B2;medium;2024-04-05;False;11.24;2;3;1;1;0;0;0;0.4
R04816;U002;B1;W0382;C2;low;2024-04-09;False;14.44;1;0;3;1;1;1;0;0.4
R04533;U002;B1;W0714;B2;medium;2024-04-10;True;6.09;3;5;1;1;0;0;0;0.4
R03796;U002;B1;W1197;C2;low;2024-04-11;False;14.38;1;0;3;1;1;1;0;0.4
R04233;U002;B1;W0405;A2;high;2024-04-11;True;2.17;1;0;-1;0;0;0;0;0.5
R08008;U002;B1;W0929;B1;low;2024-04-12;False;7.12;1;0;0;0;0;1;0;0.4
R02094;U002;B1;W0008;C1;medium;2024-04-14;False;13.82;1;0;2;1;1;0;0;0.3
R03290;U002;B1;W0008;C1;medium;2024-04-16;False;13.94;2;2;2;1;1;0;0;0.3
R02935;U002;B1;W1009;C1;high;2024-04-23;False;12.18;6;18;2;1;1;0;1;0.2
R09410;U002;B1;W0008;C1;medium;2024-04-23;False;14.77;3;7;2;1;1;0;0;0.2
R01474;U002;B1;W1410;A2;medium;2024-04-28;True;8.06;1;0;-1;0;0;0;0;0.3
R03126;U002;B1;W0272;A2;high;2024-04-28;True;6.76;1;0;-1;0;0;0;0;0.4
R07046;U002;B1;W0272;A2;high;2024-04-29;True;4.55;2;1;-1;0;0;0;0;0.4
R04272;U002;B1;W1139;A2;medium;2024-04-30;True;3.28;1;0;-1;0;0;0;0;0.5
R03421;U002;B1;W1410;A2;medium;2024-05-01;True;5.4;2;3;-1;0;0;0;0;0.5
R09991;U002;B1;W0272;A2;high;2024-05-06;True;7.07;3;7;-1;0;0;0;0;0.6
R02341;U003;A2;W0272;A2;high;2024-01-03;True;5.92;1;0;0;0;0;0;0;1.0
R04923;U003;A2;W1059;A2;high;2024-01-05;True;2.97;1;0;0;0;0;0;0;1.0
R09682;U003;A2;W0996;C1;high;2024-01-06;False;14.82;1;0;3;1;1;0;0;0.6666666666666666
R02139;U003;A2;W0327;C2;medium;2024-01-08;True;15.25;1;0;4;1;1;0;0;0.75
R05821;U003;A2;W0327;C2;medium;2024-01-09;False;15.39;2;1;4;1;1;0;0;0.6
R05050;U003;A2;W0363;B1;high;2024-01-10;True;6.04;1;0;1;1;0;0;0;0.6666666666666666
R08691;U003;A2;W1531;B1;medium;2024-01-12;True;7.89;1;0;1;1;0;0;0;0.7142857142857143
R03678;U003;A2;W0003;A2;high;2024-01-13;True;4.73;1;0;0;0;0;0;0;0.75
R04524;U003;A2;W0725;A2;high;2024-01-16;True;8.97;1;0;0;0;0;0;0;0.7777777777777778
R01289;U003;A2;W1862;A2;high;2024-01-17;True;4.66;1;0;0;0;0;0;0;0.8
R02293;U003;A2;W1201;B1;high;2024-01-18;False;13.76;1;0;1;1;1;0;0;0.7
R07476;U003;A2;W0725;A2;high;2024-01-18;True;3.94;2;2;0;0;0;0;0;0.7
R03043;U003;A2;W1201;B1;high;2024-01-19;True;8.75;2;1;1;1;0;0;0;0.8
R05580;U003;A2;W1862;A2;high;2024-01-19;True;3.26;2;2;0;0;0;0;0;0.8
R08411;U003;A2;W0644;C2;high;2024-01-20;True;10.12;1;0;4;1;0;0;0;0.9
R02524;U003;A2;W0162;B1;low;2024-01-23;False;10.21;1;0;1;1;0;1;0;0.8
R03725;U003;A2;W1201;B1;high;2024-01-24;False;11.99;3;5;1;1;1;0;0;0.7
R08206;U003;A2;W1862;A2;high;2024-01-24;True;4.75;3;5;0;0;0;0;0;0.7
R02907;U003;A2;W0092;C2;medium;2024-01-27;False;16.47;1;0;4;1;1;0;0;0.6
R04215;U003;A2;W0092;C2;medium;2024-01-28;False;16.4;2;1;4;1;1;0;0;0.5
R01242;U003;A2;W0523;B2;medium;2024-01-30;False;13.73;1;0;2;1;1;0;0;0.5
R03120;U003;A2;W0696;C2;medium;2024-01-30;False;16.18;1;0;4;1;1;0;0;0.4
R07879;U003;A2;W0938;C1;high;2024-01-30;True;11.71;1;0;3;1;0;0;0;0.4
R05223;U003;A2;W0696;C2;medium;2024-01-31;False;14.84;2;1;4;1;1;0;0;0.3
R05922;U003;A2;W0523;B2;medium;2024-02-01;False;13.43;2;2;2;1;1;0;0;0.2
R00936;U003;A2;W0117;B1;high;2024-02-02;False;12.7;1;0;1;1;1;0;0;0.2
R05976;U003;A2;W1201;B1;high;2024-02-04;True;7.66;4;11;1;1;0;0;1;0.3
R09396;U003;A2;W1379;B2;medium;2024-02-04;True;11.23;1;0;2;1;0;0;0;0.3
R00956;U003;A2;W0117;B1;high;2024-02-05;False;8.84;2;3;1;1;0;0;0;0.3
R05742;U003;A2;W0105;C1;medium;2024-02-05;True;12.67;1;0;3;1;1;0;0;0.4
R06161;U003;A2;W1427;B2;high;2024-02-07;True;7.41;1;0;2;1;0;0;0;0.5
R03382;U003;A2;W0207;C1;high;2024-02-08;False;11.22;1;0;3;1;0;0;0;0.5
R08972;U003;A2;W0248;A1;high;2024-02-08;True;4.29;1;0;-1;0;0;0;0;0.5
R02756;U003;A2;W0117;B1;high;2024-02-10;True;5.85;3;5;1;1;0;0;0;0.6
R02760;U003;A2;W1090;C2;high;2024-02-10;False;13.12;1;0;4;1;1;0;0;0.6
R03696;U003;A2;W1090;C2;high;2024-02-11;False;11.37;2;1;4;1;0;0;0;0.6
R03929;U003;A2;W1090;C2;high;2024-02-16;False;15.27;3;5;4;1;1;0;0;0.5
R08237;U003;A2;W0011;B2;high;2024-02-16;False;10.18;1;0;2;1;0;0;0;0.4
R00031;U003;A2;W0991;A2;medium;2024-02-19;False;4.95;1;0;0;0;0;0;0;0.4
R04019;U003;A2;W0507;B2;low;2024-02-19;False;13.06;1;0;2;1;1;1;0;0.3
R01756;U003;A2;W0207;C1;high;2024-02-20;False;14.38;1;0;3;1;1;0;0;0.2
R07688;U003;A2;W0722;C1;high;2024-02-20;False;14.43;1;0;3;1;1;0;0;0.2
R00073;U003;A2;W0991;A2;medium;2024-02-22;True;4.42;2;3;0;0;0;0;0;0.2
R05592;U003;A2;W0507;B2;low;2024-02-22;False;13.51;2;3;2;1;1;1;0;0.1
R05966;U003;A2;W1231;A2;low;2024-02-23;False;6.62;1;0;0;0;0;1;0;0.1
R08093;U003;A2;W0820;C1;high;2024-02-23;False;15.55;1;0;3;1;1;0;0;0.1
R06268;U003;A2;W1699;A1;medium;2024-02-25;True;4.67;1;0;-1;0;0;0;0;0.2
R06591;U003;A2;W1090;C2;high;2024-02-26;True;14.85;4;10;4;1;1;0;1;0.3
R06396;U003;A2;W1699;A1;medium;2024-02-28;True;1.82;2;3;-1;0;0;0;0;0.4
R00216;U003;A2;W0991;A2;medium;2024-02-29;False;7.83;3;7;0;0;0;0;0;0.4
R05696;U003;A2;W0507;B2;low;2024-02-29;True;8.95;3;7;2;1;0;1;0;0.5
R01140;U003;A2;W1513;C2;high;2024-03-01;False;13.27;1;0;4;1;1;0;0;0.5
R04162;U003;A2;W0452;A1;high;2024-03-03;True;5.74;1;0;-1;0;0;0;0;0.5
R09203;U003;A2;W1201;B1;high;2024-03-03;True;5.9;5;28;1;1;0;0;1;0.6
R02452;U003;A2;W1513;C2;high;2024-03-04;True;14.0;2;3;4;1;1;0;0;0.7
R00743;U003;A2;W1275;C1;medium;2024-03-07;False;12.96;1;0;3;1;1;0;0;0.7
R08737;U003;A2;W0135;C1;high;2024-03-07;False;15.77;1;0;3;1;1;0;0;0.6
R03214;U003;A2;W0250;C2;medium;2024-03-08;False;15.58;1;0;4;1;1;0;0;0.5
R05078;U003;A2;W0992;B2;low;2024-03-08;False;12.02;1;0;2;1;1;1;0;0.4
R00390;U003;A2;W0991;A2;medium;2024-03-10;False;7.09;4;10;0;0;0;0;1;0.4
R06062;U003;A2;W1115;B2;medium;2024-03-10;True;12.24;1;0;2;1;1;0;0;0.4
R07355;U003;A2;W1275;C1;medium;2024-03-10;True;11.7;2;3;3;1;0;0;0;0.5
R05040;U003;A2;W0815;B1;medium;2024-03-11;True;6.86;1;0;1;1;0;0;0;0.5
R07710;U003;A2;W0250;C2;medium;2024-03-11;False;18.4;2;3;4;1;1;0;0;0.4
R00312;U003;A2;W0650;C2;high;2024-03-12;True;12.8;1;0;4;1;1;0;0;0.4
R06521;U003;A2;W1115;B2;medium;2024-03-12;True;8.63;2;2;2;1;0;0;0;0.5
R07816;U003;A2;W1275;C1;medium;2024-03-15;False;14.58;3;5;3;1;1;0;0;0.5
R09661;U003;A2;W0250;C2;medium;2024-03-16;False;18.31;3;5;4;1;1;0;0;0.5
R05308;U003;A2;W0561;B1;low;2024-03-19;True;9.3;1;0;1;1;0;1;0;0.6
R09783;U003;A2;W1046;A2;high;2024-03-19;True;7.56;1;0;0;0;0;0;0;0.7
R06145;U003;A2;W0561;B1;low;2024-03-20;True;6.12;2;1;1;1;0;1;0;0.7
R08696;U003;A2;W0020;A1;medium;2024-03-21;False;8.48;1;0;-1;0;0;0;0;0.6
R00961;U003;A2;W0036;C2;high;2024-03-22;False;13.95;1;0;4;1;1;0;0;0.5
R00361;U003;A2;W0411;C2;low;2024-03-23;True;15.28;1;0;4;1;1;1;0;0.6
R00406;U003;A2;W0411;C2;low;2024-03-24;True;12.08;2;1;4;1;1;1;0;0.6
